k;r;n;tipo;tiempo
15;1;100000;arbolkdr;4.405230760574341
15;1;100000;buscar_pos;3.450363874435425e-05
15;1;100000;buscar_neg;3.774878904991543e-05
15;2;100000;arbolkdr;4.539023399353027
15;2;100000;buscar_pos;2.620485093858507e-05
15;2;100000;buscar_neg;2.4347889180086097e-05
15;3;100000;arbolkdr;6.664855480194092
15;3;100000;buscar_pos;2.3102273746412626e-05
15;3;100000;buscar_neg;2.210656392205622e-05
15;4;100000;arbolkdr;11.048977851867676
15;4;100000;buscar_pos;2.24016150649713e-05
15;4;100000;buscar_neg;2.086523807410038e-05
15;5;100000;arbolkdr;16.92363929748535
15;5;100000;buscar_pos;2.1012461915308115e-05
15;5;100000;buscar_neg;1.9896657843338814e-05
15;0;500000;arbolkd;8.251246929168701
15;0;500000;buscar_pos_kd;9.676844803328367e-06
15;0;500000;buscar_neg_kd;8.484329840149543e-06
15;1;500000;arbolkdr;26.272620677947998
15;1;500000;buscar_pos;3.981590270996094e-05
15;1;500000;buscar_neg;3.962418467728133e-05
15;2;500000;arbolkdr;28.31316637992859
15;2;500000;buscar_pos;2.5982709275078526e-05
15;2;500000;buscar_neg;2.560323598433514e-05
15;3;500000;arbolkdr;40.26047325134277
15;3;500000;buscar_pos;2.4590829406121765e-05
15;3;500000;buscar_neg;2.380170320209704e-05
15;4;500000;arbolkdr;56.28415369987488
15;4;500000;buscar_pos;2.2389225124083843e-05
15;4;500000;buscar_neg;2.2373701396741364e-05
15;5;500000;arbolkdr;84.76860094070435
15;5;500000;buscar_pos;2.1133924785413242e-05
15;5;500000;buscar_neg;1.8544249482207246e-05
15;0;1000000;arbolkd;15.282014846801758
15;0;1000000;buscar_pos_kd;9.184188031135721e-06
15;0;1000000;buscar_neg_kd;8.870144279635683e-06
15;1;1000000;arbolkdr;54.39388036727905
15;1;1000000;buscar_pos;4.1046921087771044e-05
15;1;1000000;buscar_neg;3.87728214263916e-05
15;2;1000000;arbolkdr;54.46527886390686
15;2;1000000;buscar_pos;2.862482654805086e-05
15;2;1000000;buscar_neg;2.6264969183474172e-05
15;3;1000000;arbolkdr;71.58764314651489
15;3;1000000;buscar_pos;2.5203547526880638e-05
15;3;1000000;buscar_neg;2.259618780586157e-05
15;4;1000000;arbolkdr;111.33338236808777
15;4;1000000;buscar_pos;2.260159964513297e-05
15;4;1000000;buscar_neg;1.9488235314687092e-05
15;5;1000000;arbolkdr;182.38943004608154
15;5;1000000;buscar_pos;2.240643058855509e-05
15;5;1000000;buscar_neg;1.8736750809187742e-05
20;0;100000;arbolkd;1.4292809963226318
20;0;100000;buscar_pos_kd;9.356123028379498e-06
20;0;100000;buscar_neg_kd;7.2090896134524e-06
20;1;100000;arbolkdr;4.152390241622925
20;1;100000;buscar_pos;3.3762037139577966e-05
20;1;100000;buscar_neg;3.1994313609843354e-05
20;2;100000;arbolkdr;4.336370468139648
20;2;100000;buscar_pos;2.5233042608831347e-05
20;2;100000;buscar_neg;2.304875120824697e-05
20;3;100000;arbolkdr;6.059699535369873
20;3;100000;buscar_pos;2.198316613022162e-05
20;3;100000;buscar_neg;2.1031733309285025e-05
20;4;100000;arbolkdr;9.316016674041748
20;4;100000;buscar_pos;2.113410404750279e-05
20;4;100000;buscar_neg;1.9037723541259764e-05
20;5;100000;arbolkdr;14.894516468048096
20;5;100000;buscar_pos;1.989305019378662e-05
20;5;100000;buscar_neg;1.839668520035282e-05
20;0;500000;arbolkd;7.6657679080963135
20;0;500000;buscar_pos_kd;9.887072504783163e-06
20;0;500000;buscar_neg_kd;8.395739964076451e-06
20;1;500000;arbolkdr;24.227378845214844
20;1;500000;buscar_pos;4.163566900759327e-05
20;1;500000;buscar_neg;3.852795079811332e-05
20;2;500000;arbolkdr;28.622246026992798
20;2;500000;buscar_pos;2.6626685231002337e-05
20;2;500000;buscar_neg;2.5223210914847777e-05
20;3;500000;arbolkdr;33.02619028091431
20;3;500000;buscar_pos;2.248336871465047e-05
20;3;500000;buscar_neg;2.1383166313171387e-05
20;4;500000;arbolkdr;48.010793685913086
20;4;500000;buscar_pos;2.124874862198977e-05
20;4;500000;buscar_neg;1.903170162869483e-05
20;5;500000;arbolkdr;75.36494827270508
20;5;500000;buscar_pos;1.870095729827881e-05
20;5;500000;buscar_neg;1.8011896233809623e-05
20;0;1000000;arbolkd;14.392135381698608
20;0;1000000;buscar_pos_kd;9.040242617892236e-06
20;0;1000000;buscar_neg_kd;8.772830573879942e-06
20;1;1000000;arbolkdr;49.10695123672485
20;1;1000000;buscar_pos;4.192761012486049e-05
20;1;1000000;buscar_neg;4.4694699739155016e-05
20;2;1000000;arbolkdr;50.24916458129883
20;2;1000000;buscar_pos;2.8398572182168767e-05
20;2;1000000;buscar_neg;2.7356688509282377e-05
20;3;1000000;arbolkdr;69.1021614074707
20;3;1000000;buscar_pos;2.4160560296506297e-05
20;3;1000000;buscar_neg;2.3397306601206463e-05
20;4;1000000;arbolkdr;102.58306288719177
20;4;1000000;buscar_pos;2.1172552993617108e-05
20;4;1000000;buscar_neg;1.9995533690160635e-05
20;5;1000000;arbolkdr;164.68065547943115
20;5;1000000;buscar_pos;2.107814866669324e-05
20;5;1000000;buscar_neg;1.9815503334512517e-05
